Date,SANDP,FORD,GE,MICROSOFT,ORACLE,USTB3M
Jan-02,1130.199951,15.3,37.150002,31.855,17.26,1.68
Feb-02,1106.72998,14.88,38.5,29.17,16.620001,1.76
Mar-02,1147.390015,16.49,37.400002,30.155001,12.8,1.83
Apr-02,1076.920044,16,31.549999,26.129999,10.04,1.75
May-02,1067.140015,17.65,31.139999,25.455,7.92,1.76
Jun-02,989.820007,16,29.049999,27.35,9.47,1.73
Jul-02,911.619995,13.47,32.200001,23.99,10.01,1.71
Aug-02,916.070007,11.77,30.15,24.540001,9.59,1.65
Sep-02,815.280029,9.8,24.65,21.870001,7.86,1.66
Oct-02,885.76001,8.46,25.25,26.735001,10.19,1.61
Nov-02,936.309998,11.38,27.120001,28.84,12.15,1.25
Dec-02,879.820007,9.3,24.35,25.85,10.8,1.21
Jan-03,855.700012,9.11,23.139999,23.73,12.03,1.19
Feb-03,841.150024,8.32,24.049999,23.700001,11.96,1.19
Mar-03,848.179993,7.52,25.5,24.209999,10.85,1.15
Apr-03,916.919983,10.3,29.450001,25.57,11.88,1.15
May-03,963.590027,10.5,28.700001,24.610001,13.01,1.09
Jun-03,974.5,10.99,28.68,25.639999,12.01,0.94
Jul-03,990.309998,11.06,28.440001,26.41,11.99,0.92
Aug-03,1008.01001,11.56,29.57,26.52,12.83,0.97
Sep-03,995.969971,10.77,29.809999,27.799999,11.25,0.96
Oct-03,1050.709961,12.13,29.01,26.139999,11.97,0.94
Nov-03,1058.199951,13.2,28.67,25.709999,12.02,0.95
Dec-03,1111.920044,16,30.98,27.370001,13.23,0.91
Jan-04,1131.130005,14.54,33.630001,27.65,13.86,0.90
Feb-04,1144.939941,13.75,32.52,26.530001,12.87,0.94
Mar-04,1126.209961,13.57,30.52,24.93,12,0.95
Apr-04,1107.300049,15.36,29.950001,26.129999,11.25,0.96
May-04,1120.680054,14.85,31.120001,26.23,11.4,1.04
Jun-04,1140.839966,15.65,32.400002,28.559999,11.93,1.29
Jul-04,1101.719971,14.72,33.25,28.49,10.51,1.36
Aug-04,1104.23999,14.11,32.790001,27.299999,9.97,1.50
Sep-04,1114.579956,14.05,33.580002,27.65,11.28,1.68
Oct-04,1130.199951,13.03,34.119999,27.969999,12.66,1.79
Nov-04,1173.780029,14.18,35.360001,26.809999,12.74,2.11
Dec-04,1211.920044,14.64,36.5,26.719999,13.72,2.22
Jan-05,1181.27002,13.17,36.130001,26.280001,13.77,2.37
Feb-05,1203.599976,12.65,35.200001,25.16,12.95,2.58
Mar-05,1180.589966,11.33,36.060001,24.17,12.48,2.80
Apr-05,1156.849976,9.11,36.200001,25.299999,11.56,2.84
May-05,1191.5,9.98,36.48,25.799999,12.8,2.90
Jun-05,1191.329956,10.24,34.650002,24.84,13.2,3.04
Jul-05,1234.180054,10.74,34.5,25.610001,13.57,3.29
Aug-05,1220.329956,9.97,33.610001,27.379999,12.99,3.52
Sep-05,1228.810059,9.86,33.669998,25.73,12.4,3.49
Oct-05,1207.01001,8.32,33.91,25.700001,12.68,3.79
Nov-05,1249.47998,8.13,35.720001,27.68,12.6,3.97
Dec-05,1248.290039,7.72,35.049999,26.15,12.21,3.97
Jan-06,1280.079956,8.58,32.75,28.15,12.57,4.34
Feb-06,1280.660034,7.97,32.869999,26.870001,12.42,4.54
Mar-06,1302.880005,7.96,34.779999,27.209999,13.69,4.63
Apr-06,1310.609985,6.95,34.59,24.15,14.59,4.72
May-06,1270.050049,7.16,34.259998,22.65,14.22,4.84
Jun-06,1270.060059,6.93,32.959999,23.299999,14.49,4.92
Jul-06,1278.530029,6.67,32.689999,24.059999,14.97,5.08
Aug-06,1303.800049,8.37,34.060001,25.700001,15.66,5.09
Sep-06,1335.819946,8.09,35.299999,27.35,17.74,4.93
Oct-06,1377.76001,8.28,35.110001,28.709999,18.469999,5.05
Nov-06,1400.630005,8.13,35.279999,29.360001,19.049999,5.07
Dec-06,1418.030029,7.51,37.209999,29.860001,17.139999,4.97
Jan-07,1437.900024,8.13,36.049999,30.860001,17.16,5.11
Feb-07,1406.800049,7.91,34.91,28.17,16.43,5.16
Mar-07,1420.829956,7.89,35.360001,27.870001,18.129999,5.08
Apr-07,1482.369995,8.04,36.860001,29.940001,18.799999,5.01
May-07,1530.619995,8.34,37.580002,30.690001,19.379999,4.87
Jun-07,1504.660034,9.42,38.279999,29.469999,19.709999,4.74
Jul-07,1455.180054,8.51,38.759998,28.99,19.120001,4.96
Aug-07,1473.959961,7.81,38.869999,28.73,20.280001,4.32
Sep-07,1527.290039,8.49,41.400002,29.459999,21.65,3.99
Oct-07,1545.790039,8.87,41.16,36.810001,22.17,4.00
Nov-07,1479.630005,7.51,38.290001,33.599998,20.18,3.35
Dec-07,1467.969971,6.73,37.07,35.599998,22.58,3.07
Jan-08,1378.599976,6.64,35.360001,32.599998,20.549999,2.82
Feb-08,1330.449951,6.53,33.139999,27.200001,18.799999,2.17
Mar-08,1326.410034,5.72,37.009998,28.379999,19.559999,1.28
Apr-08,1385.969971,8.26,32.700001,28.52,20.85,1.31
May-08,1399.619995,6.8,30.719999,28.32,22.84,1.76
Jun-08,1276.689941,4.81,26.690001,27.51,21,1.89
Jul-08,1269.420044,4.8,28.290001,25.719999,21.530001,1.66
Aug-08,1287.829956,4.46,28.1,27.290001,21.93,1.75
Sep-08,1164.170044,5.2,25.5,26.690001,20.309999,1.15
Oct-08,968.669983,2.19,19.51,22.33,18.290001,0.69
Nov-08,888.609985,2.69,17.17,20.219999,16.09,0.19
Dec-08,902.98999,2.29,16.200001,19.440001,17.73,0.03
Jan-09,823.090027,1.87,12.13,17.1,16.83,0.13
Feb-09,729.570007,2,8.51,16.15,15.54,0.30
Mar-09,793.590027,2.63,10.11,18.370001,18.07,0.22
Apr-09,872.73999,5.98,12.65,20.26,19.34,0.16
May-09,923.26001,5.75,13.48,20.889999,19.59,0.18
Jun-09,920.820007,6.07,11.72,23.77,21.42,0.18
Jul-09,990.219971,8,13.4,23.52,22.129999,0.18
Aug-09,1019.52002,7.6,13.9,24.65,21.879999,0.17
Sep-09,1054.910034,7.21,16.42,25.719999,20.84,0.12
Oct-09,1036.180054,7,14.26,27.73,21.1,0.07
Nov-09,1098.890015,8.89,16.02,29.41,22.08,0.05
Dec-09,1116.560059,10,15.13,30.48,24.530001,0.05
Jan-10,1073.890015,10.84,16.08,28.18,23.059999,0.06
Feb-10,1105.359985,11.74,16.059999,28.67,24.65,0.11
Mar-10,1171.22998,12.57,18.200001,29.290001,25.709999,0.15
Apr-10,1188.579956,13.02,18.860001,30.540001,25.870001,0.16
May-10,1087.300049,11.73,16.35,25.799999,22.57,0.16
Jun-10,1031.099976,10.08,14.42,23.01,21.459999,0.12
Jul-10,1107.530029,12.77,16.120001,25.809999,23.639999,0.16
