Date,MICROSOFT,SANDP,CPI,INDPRO,M1SUPPLY,CCREDIT,BMINUSA,USTB3M,USTB10Y
Jun-14,41.70,1960.23,238.34,105.41,2824.80,3167.47,0.55,0.04,2.60
Jul-14,43.16,1930.67,238.25,105.56,2841.20,3188.19,0.57,0.03,2.54
Aug-14,45.43,2003.37,237.85,105.48,2790.20,3226.93,0.61,0.03,2.42
Sep-14,46.36,1972.29,238.03,105.79,2834.60,3246.13,0.69,0.02,2.53
Oct-14,46.95,2018.05,237.43,105.82,2865.00,3252.95,0.77,0.02,2.30
Nov-14,47.81,2067.56,236.15,106.66,2861.10,3268.12,0.87,0.02,2.33
Dec-14,46.45,2058.90,234.81,106.50,2992.00,3314.57,0.95,0.03,2.21
Jan-15,40.40,1994.99,233.71,105.88,2941.10,3324.21,0.99,0.03,1.88
Feb-15,43.85,2104.50,234.72,105.42,2979.60,3312.58,0.90,0.02,1.98
Mar-15,40.66,2067.89,236.12,105.09,3023.90,3319.71,0.90,0.03,2.04
Apr-15,48.64,2085.51,236.60,104.56,3035.40,3343.73,0.96,0.02,1.94
May-15,46.86,2107.39,237.81,104.07,2975.90,3366.17,0.91,0.02,2.20
Jun-15,44.15,2063.11,238.64,103.69,3020.70,3394.80,0.94,0.02,2.36
Jul-15,46.70,2103.84,238.65,104.24,3038.40,3411.99,1.05,0.03,2.32
Aug-15,43.52,1972.18,238.32,104.13,3022.30,3448.57,1.15,0.07,2.17
Sep-15,44.26,1920.03,237.95,103.73,3016.30,3478.54,1.27,0.02,2.17
Oct-15,52.64,2079.36,237.84,103.36,3011.90,3490.05,1.39,0.02,2.07
Nov-15,54.35,2080.41,237.34,102.73,3056.20,3507.49,1.40,0.13,2.26
Dec-15,55.48,2043.94,236.53,102.27,3141.10,3413.61,1.49,0.23,2.24
Jan-16,55.09,1940.24,236.92,103.03,3094.30,3425.88,1.45,0.26,2.09
Feb-16,50.88,1932.23,237.11,102.34,3097.40,3411.21,1.38,0.31,1.78
Mar-16,55.23,2059.74,238.13,101.54,3181.20,3420.93,1.31,0.30,1.89
Apr-16,49.87,2065.30,239.26,101.75,3236.50,3444.56,1.17,0.23,1.81
May-16,53.00,2096.95,240.23,101.60,3237.30,3469.47,1.03,0.28,1.81
Jun-16,51.17,2098.86,241.02,101.95,3250.10,3488.48,1.03,0.27,1.64
Jul-16,56.68,2173.60,240.63,102.14,3248.50,3504.65,0.94,0.30,1.50
Aug-16,57.46,2170.95,240.85,102.07,3323.00,3551.91,0.92,0.30,1.56
Sep-16,57.60,2168.27,241.43,101.93,3300.90,3573.32,0.90,0.29,1.63
Oct-16,59.92,2126.15,241.73,102.06,3330.70,3589.42,0.87,0.33,1.76
Nov-16,60.26,2198.81,241.35,101.83,3327.30,3613.81,0.85,0.45,2.14
Dec-16,62.14,2238.83,241.43,102.79,3383.00,3644.20,0.77,0.51,2.49
Jan-17,64.65,2278.87,242.84,102.54,3380.60,3654.22,0.74,0.52,2.43
Feb-17,63.98,2363.64,243.60,102.16,3339.40,3641.83,0.69,0.53,2.42
Mar-17,65.86,2362.72,243.80,102.72,3460.60,3640.11,0.67,0.75,2.48
Apr-17,68.46,2384.20,244.52,103.71,3466.20,3656.78,0.70,0.81,2.30
May-17,69.84,2411.80,244.73,103.71,3496.70,3679.65,0.70,0.90,2.30
Jun-17,68.93,2423.41,244.96,103.77,3501.70,3695.38,0.69,1.00,2.19
Jul-17,72.70,2470.30,244.79,103.62,3532.80,3709.14,0.69,1.09,2.32
Aug-17,74.77,2471.65,245.52,103.20,3567.60,3741.93,0.68,1.03,2.21
Sep-17,74.49,2519.36,246.82,103.18,3526.20,3753.99,0.67,1.05,2.20
Oct-17,83.18,2575.26,246.66,104.76,3582.40,3771.30,0.72,1.09,2.36
Nov-17,84.17,2584.84,246.67,105.29,3580.80,3804.89,0.70,1.25,2.35
Dec-17,85.54,2673.61,246.52,105.72,3636.40,3834.60,0.71,1.34,2.40
Jan-18,95.01,2823.81,247.87,105.31,3635.40,3843.42,0.71,1.43,2.58
Feb-18,93.77,2713.83,248.99,105.75,3557.30,3826.88,0.69,1.59,2.86
Mar-18,91.27,2640.87,249.55,106.54,3684.70,3823.99,0.77,1.73,2.84
